customer_id,gender,senior_citizen,partner,dependent,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movie,contract,paperless_bill,payment_method,monthly_charge,total_charge,churn
7590-VHVEG,female,0,yes,no,1,no,no-phone-service,DSL,no,yes,no,no,no,no,month-to-month,yes,electronic-check,29.85,29.85,no
5575-GNVDE,male,0,no,no,34,yes,no,DSL,yes,no,yes,no,no,no,1-year,no,mail-check,56.95,1889.5,no
3668-QPYBK,male,0,no,no,2,yes,no,DSL,yes,yes,no,no,no,no,month-to-month,yes,mail-check,53.85,108.15,yes
7795-CFOCW,male,0,no,no,45,no,no-phone-service,DSL,yes,no,yes,yes,no,no,1-year,no,bank-transfer,42.3,1840.75,no
9237-HQITU,female,0,no,no,2,yes,no,fiber-optic,no,no,no,no,no,no,month-to-month,yes,electronic-check,70.7,151.65,yes
9305-CDSKC,female,0,no,no,8,yes,yes,fiber-optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic-check,99.65,820.5,yes
1452-KIOVK,male,0,no,yes,22,yes,yes,fiber-optic,no,yes,no,no,yes,no,month-to-month,yes,credit-card,89.1,1949.4,no
6713-OKOMC,female,0,no,no,10,no,no-phone-service,DSL,yes,no,no,no,no,no,month-to-month,no,mail-check,29.75,301.9,no
7892-POOKP,female,0,yes,no,28,yes,yes,fiber-optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic-check,104.8,3046.05,yes
6388-TABGU,male,0,no,yes,62,yes,no,DSL,yes,yes,no,no,no,no,1-year,no,bank-transfer,56.15,3487.95,no
9763-GRSKD,male,0,yes,yes,13,yes,no,DSL,yes,no,no,no,no,no,month-to-month,yes,mail-check,49.95,587.45,no
7469-LKBCI,male,0,no,no,16,yes,no,no,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,no-internet-service,2-year,no,credit-card,18.95,326.8,no
8091-TTVAX,male,0,yes,no,58,yes,yes,fiber-optic,no,no,yes,no,yes,yes,1-year,no,credit-card,100.35,5681.1,no
0280-XJGEX,male,0,no,no,49,yes,yes,fiber-optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank-transfer,103.7,5036.3,yes
5129-JLPIS,male,0,no,no,25,yes,no,fiber-optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic-check,105.5,2686.05,no
